0	0	0	491.5	0	0	491.5	0	200	0	0	200	
491.5	0	0	491.5	483.7	0	491.5	483.7	200	491.5	0	200	
491.5	483.7	0	108.3	483.7	0	108.3	458.1	200	491.5	483.7	200	
108.3	458.1	0	108.3	483.7	0	108.3	483.7	200	108.3	458.1	200	
89.2	458.1	0	108.3	458.1	0	108.3	458.1	200	89.2	458.1	200	
89.2	483.7	0	89.2	458.1	0	89.2	458.1	200	89.2	483.7	200	
0	483.7	0	89.2	483.7	0	89.2	483.7	200	0	483.7	200	
0	483.7	0	0	0	0	0	0	200	0	483.7	200	
200	200	0	350	200	0	350	200	50	200	200	50	
200	260	0	200	200	0	200	200	50	200	260	50	
200	260	0	350	260	0	350	260	50	200	260	50	
350	200	0	350	260	0	350	260	50	350	200	50	
200	200	50	350	200	50	350	260	50	108.3	483.7	0	
